D:\Users\MathAngel\anaconda3\python.exe E:\Lab\base-T5-G8\base-ce.py 
training on  cuda
epoch 1, loss 1.5470, train acc 0.444, test_id acc 0.529, test_ood acc 0.214, time 37.0 sec
epoch 2, loss 1.1567, train acc 0.593, test_id acc 0.578, test_ood acc 0.202, time 21.1 sec
epoch 3, loss 0.9271, train acc 0.675, test_id acc 0.568, test_ood acc 0.195, time 21.0 sec
epoch 4, loss 0.7312, train acc 0.747, test_id acc 0.532, test_ood acc 0.326, time 21.0 sec
epoch 5, loss 0.6048, train acc 0.794, test_id acc 0.501, test_ood acc 0.293, time 21.0 sec
epoch 6, loss 0.4973, train acc 0.832, test_id acc 0.455, test_ood acc 0.317, time 21.0 sec
epoch 7, loss 0.4137, train acc 0.855, test_id acc 0.543, test_ood acc 0.294, time 21.2 sec
epoch 8, loss 0.3607, train acc 0.877, test_id acc 0.603, test_ood acc 0.438, time 21.4 sec
epoch 9, loss 0.2923, train acc 0.902, test_id acc 0.600, test_ood acc 0.379, time 21.3 sec
epoch 10, loss 0.2305, train acc 0.923, test_id acc 0.628, test_ood acc 0.446, time 21.3 sec
epoch 11, loss 0.1744, train acc 0.946, test_id acc 0.623, test_ood acc 0.372, time 21.3 sec
epoch 12, loss 0.1277, train acc 0.960, test_id acc 0.670, test_ood acc 0.346, time 21.4 sec
epoch 13, loss 0.0957, train acc 0.971, test_id acc 0.641, test_ood acc 0.419, time 21.4 sec
epoch 14, loss 0.0706, train acc 0.982, test_id acc 0.649, test_ood acc 0.363, time 21.5 sec
epoch 15, loss 0.0547, train acc 0.987, test_id acc 0.643, test_ood acc 0.419, time 21.4 sec
epoch 16, loss 0.0420, train acc 0.992, test_id acc 0.580, test_ood acc 0.278, time 21.4 sec
epoch 17, loss 0.0303, train acc 0.995, test_id acc 0.680, test_ood acc 0.362, time 21.5 sec
epoch 18, loss 0.0183, train acc 0.998, test_id acc 0.627, test_ood acc 0.305, time 21.4 sec
epoch 19, loss 0.0095, train acc 1.000, test_id acc 0.724, test_ood acc 0.490, time 21.2 sec
epoch 20, loss 0.0041, train acc 1.000, test_id acc 0.757, test_ood acc 0.503, time 21.1 sec
epoch 21, loss 0.0034, train acc 1.000, test_id acc 0.761, test_ood acc 0.509, time 21.4 sec
epoch 22, loss 0.0039, train acc 1.000, test_id acc 0.766, test_ood acc 0.511, time 21.3 sec
epoch 23, loss 0.0045, train acc 1.000, test_id acc 0.759, test_ood acc 0.516, time 21.3 sec
epoch 24, loss 0.0051, train acc 1.000, test_id acc 0.757, test_ood acc 0.515, time 21.3 sec
epoch 25, loss 0.0057, train acc 1.000, test_id acc 0.755, test_ood acc 0.513, time 21.4 sec
epoch 26, loss 0.0062, train acc 1.000, test_id acc 0.755, test_ood acc 0.511, time 21.2 sec
epoch 27, loss 0.0067, train acc 1.000, test_id acc 0.751, test_ood acc 0.510, time 20.3 sec
epoch 28, loss 0.0071, train acc 1.000, test_id acc 0.751, test_ood acc 0.505, time 20.3 sec
epoch 29, loss 0.0076, train acc 1.000, test_id acc 0.747, test_ood acc 0.505, time 20.3 sec
epoch 30, loss 0.0080, train acc 1.000, test_id acc 0.746, test_ood acc 0.500, time 20.2 sec
epoch 31, loss 0.0084, train acc 1.000, test_id acc 0.741, test_ood acc 0.495, time 20.3 sec
epoch 32, loss 0.0088, train acc 1.000, test_id acc 0.741, test_ood acc 0.489, time 20.3 sec
epoch 33, loss 0.0092, train acc 1.000, test_id acc 0.741, test_ood acc 0.483, time 20.2 sec
